//This data set is derived from the Nursery data set
// first column is the class label, others are categorical attributes
%%,0,1
##,A1,1,2,3
##,A2,1,2,3
##,A3,1,2
##,A4,1,2,3
##,A5,1,2,3
0,2,2,1,2,1
0,3,2,2,1,1
1,1,1,1,3,1
0,1,2,2,3,3
1,1,3,2,2,3
0,1,1,2,3,3
1,1,3,1,3,3
1,2,3,2,2,1
1,3,3,1,1,1
0,2,2,1,1,3
0,2,3,1,2,1
1,2,2,1,2,3
1,1,2,2,1,3
0,1,1,2,3,3
0,1,1,2,3,1
0,1,2,1,2,1
1,2,3,1,3,3
1,1,2,1,1,1
0,2,1,1,2,3
0,1,1,2,1,1
0,1,1,1,1,3
1,1,2,1,3,3
1,2,3,1,3,3
0,2,2,1,1,1
0,1,1,1,3,1
1,2,2,2,3,3
1,3,2,1,1,1
0,2,1,1,2,1
0,2,3,2,2,1
1,3,3,1,3,3
0,1,3,1,3,1
1,1,3,1,3,3
0,2,1,2,3,1
1,1,1,1,2,3
1,3,3,1,1,1
0,3,1,2,1,1
0,1,3,2,3,1
0,1,3,1,2,1
1,3,2,2,2,3
1,1,1,1,3,3
1,1,2,1,3,1
1,3,3,2,3,3
0,2,1,1,1,3
1,1,2,1,1,3
1,1,1,1,2,1
1,3,3,2,1,3
0,1,2,2,3,1
0,2,2,1,3,3
1,3,3,1,3,3
1,1,3,1,2,3
0,2,2,1,3,1
1,2,3,2,3,3
1,2,3,2,1,3
0,3,1,1,1,3
1,3,3,1,2,1
0,2,1,1,1,1
0,2,1,2,1,1
0,1,1,1,3,1
0,2,2,1,3,3
1,1,2,1,3,1
0,2,1,2,2,3
1,1,1,1,2,1
1,3,1,2,3,1
1,1,3,2,3,3
1,3,1,1,3,3
0,2,1,1,1,1
0,3,1,2,3,3
1,2,3,2,2,3
0,3,2,2,1,1
0,2,2,1,3,1
1,3,3,2,3,3
1,1,1,1,2,1
0,3,1,2,2,3
0,1,3,2,3,1
0,1,3,2,1,3
0,2,1,1,1,1
1,3,3,2,2,1
0,2,3,2,1,3
0,1,1,1,3,1
0,2,1,1,3,1
0,1,2,1,1,1
1,2,2,1,3,3
1,3,1,1,3,1
0,1,1,1,2,1
0,2,2,2,1,1
0,3,2,1,3,1
1,2,3,1,3,3
0,1,2,2,3,1
1,3,3,2,1,3
1,2,3,2,3,1
1,1,3,2,2,1
0,1,2,1,1,3
1,3,1,2,2,3
1,1,3,2,2,1
1,2,3,1,3,1
0,3,2,1,2,3
0,2,3,1,1,1
1,3,2,2,1,3
0,2,3,1,1,3
1,3,1,2,1,3
0,1,1,2,2,3
1,3,3,2,1,1
0,2,2,2,2,1
1,3,3,2,2,1
1,3,2,1,1,1
0,2,3,2,2,1
1,3,2,1,2,1
1,3,2,2,3,3
0,2,2,2,3,3
1,3,1,1,1,3
1,3,1,2,2,1
0,3,2,1,3,1
1,1,3,1,2,3
1,2,2,1,3,3
0,3,1,1,1,3
0,3,2,2,1,1
0,3,2,1,2,3
0,2,2,2,1,1
0,1,1,2,1,3
1,3,2,2,1,1
1,1,1,2,3,3
1,1,1,2,1,3
0,3,3,2,1,1
1,1,3,1,2,3
1,1,1,1,2,1
0,2,3,2,1,1
0,2,1,2,1,1
0,1,1,2,2,1
1,1,1,2,2,1
1,1,2,1,2,3
0,2,3,2,2,1
0,2,3,1,1,1
1,3,2,2,2,1
0,2,3,1,2,1
1,1,2,1,3,3
0,2,2,2,3,3
1,1,1,1,2,3
1,3,2,2,2,1
1,1,1,1,1,1
0,2,1,1,1,1
1,3,2,2,3,1
0,2,2,1,1,1
1,3,2,2,3,1
1,3,1,2,2,3
0,1,1,1,3,1
0,2,3,2,3,1
1,2,2,1,3,1
0,2,3,1,3,1
1,3,1,2,1,3
1,2,2,2,2,1
0,2,1,2,3,3
0,1,1,1,2,3
0,3,2,2,3,1
1,3,3,1,1,1
0,3,3,1,3,3
1,3,2,2,2,3
1,2,3,2,1,1
1,3,1,2,3,3
1,3,3,2,3,1
1,3,1,1,1,3
0,1,1,2,3,1
0,1,2,1,1,3
0,1,1,2,3,1
1,3,3,2,3,1
0,1,3,1,3,1
0,1,1,1,3,1
0,2,2,2,2,1
1,2,3,2,1,3
1,3,3,1,1,1
1,3,3,2,2,3
1,3,1,2,3,1
0,1,2,2,3,1
1,3,2,1,3,1
0,2,2,2,2,1
0,2,1,2,3,1
1,2,3,2,2,3
0,3,1,1,1,1
0,1,2,1,1,3
0,3,1,2,2,1
0,2,1,1,2,3
0,2,1,1,2,1
1,1,3,1,3,1
0,2,1,1,3,1
0,2,1,2,1,1
1,2,1,1,1,1
1,3,3,1,3,3
1,2,1,2,2,3
1,2,2,2,3,3
0,2,1,1,1,3
1,1,1,1,3,1
1,2,2,1,3,3
1,3,2,2,3,1
0,2,2,2,1,1
0,1,3,2,3,1
1,3,3,2,2,1
1,3,2,2,3,3
0,2,1,1,2,1
1,3,3,1,3,3
1,3,2,1,2,3
1,2,3,1,3,3
1,3,3,1,3,3
0,3,2,2,2,3
1,3,3,2,1,3
0,2,3,1,3,3
0,1,1,1,1,1
0,2,1,1,3,3
0,1,1,1,1,3
1,3,3,2,1,1
0,3,3,1,1,1
1,1,2,2,1,1
1,2,3,2,2,3
0,3,1,1,3,1
1,1,1,1,3,1
1,1,1,2,2,1
1,1,1,1,1,3
0,1,1,2,3,1
1,3,3,2,2,1
0,2,1,2,2,1
0,1,2,1,2,3
0,2,1,2,3,1
0,1,3,2,1,1
1,1,2,1,1,1
0,2,2,2,2,1
1,3,2,2,2,3
0,1,3,1,1,3
1,1,2,1,1,1
0,1,2,2,1,1
1,1,3,1,1,3
1,3,2,2,1,1
0,2,2,2,3,1
1,2,3,2,2,3
0,2,2,2,1,3
1,2,3,1,1,3
1,2,2,2,2,3
0,3,2,2,1,1
1,3,3,2,1,3
0,2,2,2,2,1
1,1,1,1,1,1
0,2,2,2,3,3
1,1,1,2,2,3
0,1,1,1,3,3
1,1,3,1,2,3
1,1,3,2,1,1
0,1,3,1,3,1
0,2,1,1,2,1
0,3,2,1,2,3
0,3,2,1,2,3
1,2,2,2,3,1
1,3,3,2,1,3
0,1,1,1,1,1
1,3,3,2,2,1
1,1,3,2,1,1
1,2,2,2,2,3
0,1,1,2,2,1
1,2,3,1,3,1
1,2,2,1,1,3
1,3,2,2,1,3
0,1,1,2,1,1
1,1,1,2,1,1
1,3,1,1,1,1
0,1,1,1,3,3
0,2,1,2,3,3
0,2,2,2,1,1
1,3,2,2,1,1
1,3,2,2,3,3
1,3,3,1,1,1
1,1,1,1,2,1
1,1,3,2,3,3
1,3,2,2,1,3
0,3,3,1,1,3
1,3,1,1,3,3
1,1,2,1,2,3
0,1,3,1,3,1
1,3,3,1,1,1
0,2,3,1,2,1
1,1,2,1,2,3
1,1,3,2,3,1
1,1,3,2,3,1
0,2,2,2,1,3
0,1,1,2,2,1
0,1,3,2,2,1
1,3,2,1,3,3
0,3,2,1,1,1
1,2,3,2,2,3
1,3,3,2,2,1
0,1,1,2,2,3
1,2,3,2,3,3
0,1,1,2,3,3
1,2,3,2,3,1
1,3,3,1,1,3
0,1,1,2,2,1
1,1,2,1,2,3
0,1,1,1,3,1
0,1,3,1,3,1
1,3,1,2,2,1
1,1,2,2,2,3
1,2,3,2,3,3
1,1,3,2,1,1
0,2,2,2,3,1
